Start_date;End_date;Country;ISO;Location;Latitude;Longitude;Magnitude_value;Magnitude_scale;Disaster_type;Disaster_subtype;Associated_disaster;Associated_disaster2;Total_deaths;Total_affected;Total_damage;Insured_losses;Disaster_name;Disaster_No
30/05/1998;30/05/1998;Afghanistan;AFG;Shari-I-Buzurg (Faizabad );37.106;70.11;6.6;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;4700;116935;10000;0;;1998-0152
04/02/1998;04/02/1998;Afghanistan;AFG;Rustaq (Takhar province);37.075;70.089;5.9;Richter;Earthquake;Ground movement;--;--;2323;32818;10000;0;;1998-0026
10/06/1954;10/06/1954;Afghanistan;AFG;North Region;36;66;;Richter;Earthquake;Ground movement;--;--;2000;0;0;0;;1954-0009
05/01/2008;15/02/2008;Afghanistan;AFG;Nangarhar, Laghman (Eastern), Paktika, Paktya (Central), Ghor, Badghis, Hirat (Western), Sar-e-Pul, Kunduz, Balkh, Jawzjan, Takhar (Northern), Hilmand (SouthWest), Farah provinces;;;;°C;Extreme temperature ;Severe winter conditions;Cold wave;Avalanche (Snow, Debris);1317;170684;0;0;;2008-0006
25/03/2002;25/03/2002;Afghanistan;AFG;Nahrin district (Baghlan province);36.062;69.31;6.1;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;1000;91228;0;0;;2002-0175
16/12/1982;16/12/1982;Afghanistan;AFG;Baghlan province (Hindu Kush region);36.148;69.011;6.6;Richter;Earthquake;Ground movement;--;--;500;38000;1000;0;;1982-0127
/01/2005;/02/2005;Afghanistan;AFG;Badakhshan, Daykundi, Ghazni, Paktika, Ghor, Zabul, Uruzgan, Wardak provinces;;;;Kph;Storm;--;Cold wave;--;260;22656;5000;0;;2005-0044
/11/2001;/11/2001;Afghanistan;AFG;Kunduz province;;;;°C;Extreme temperature ;Cold wave;--;--;177;100000;0;0;;2001-0668
01/05/1994;01/05/1994;Afghanistan;AFG;Termez, Depth Shallow, Balkh and Jowzan Provinces, Mazar-I-Sharif District;37.0 N;67.0 E;6.3;Richter;Earthquake;Ground movement;--;--;160;100330;0;0;;1994-0057
31/01/2001;20/02/2001;Afghanistan;AFG;Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces;;;-25;°C;Extreme temperature ;Cold wave;--;--;150;100000;10;0;;2001-0027
03/03/2002;03/03/2002;Afghanistan;AFG;Hindu Kush montain (Wakhan district, Badakhshan province), Souchi Bala Payan, Yawan villages (Yawan district, Badakhshan province), Souch village (Jorm district, Badakhshan province), Jurm, Malang Ab villages (Baharak district, Badakhshan province), Rostaq district (Takhar province), Kabul district (Kabul province), Khuram Wa Sarbagh, Aybak districts (Samagan province);36.429;70.438;6.3;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;150;3513;0;0;;2002-0122
26/12/1990;26/12/1990;Afghanistan;AFG;;;;;°C;Extreme temperature ;Cold wave;--;--;144;0;0;0;;1990-0248
31/01/1991;31/01/1991;Afghanistan;AFG;Konar, Nangarhar, Badakhstan provinces;38.993 N;70.423 E;6.4;Richter;Earthquake;Ground movement;--;--;130;7000;0;0;;1991-0033
26/10/2015;26/10/2015;Afghanistan;AFG;Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces;36.524;70.37;7.5;Richter;Earthquake;Ground movement;--;--;115;92725;0;0;;2015-0476
10/06/1956;10/06/1956;Afghanistan;AFG;Kabul;35.1;67.5;7.6;Richter;Earthquake;Ground movement;--;--;100;2000;25000;0;;1956-0008
03/01/1991;03/01/1991;Afghanistan;AFG;East and South Afghan Provinces;;;-15;°C;Extreme temperature ;Cold wave;--;--;80;200;0;0;;1991-0009
11/06/2012;11/06/2012;Afghanistan;AFG;Burka, Mullah Jan villages (Burka district, Baghlan province) Nahrin, Guzargah-e-Nur, Khost Wa Fereng, Khwajahejran districts (Baghlan province);36.082;69.32;5.7;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;73;237;0;0;;2012-0164
11/02/1999;11/02/1999;Afghanistan;AFG;Maidam Shar, Nirkh, Sayedabad, Baraki Barak, Pul-e-Alam, Mohammad Agha - Lowgar ;34.259;69.364;6;Richter;Earthquake;Ground movement;--;--;70;91960;0;0;;1999-0054
01/02/2014;07/02/2014;Afghanistan;AFG;Jawzjan, Faryab, Kunduz, Kabul provinces;;;;Kph;Storm;Convective storm;Cold wave;--;63;0;0;0;;2014-0084
19/03/1976;19/03/1976;Afghanistan;AFG;Hindu Kush;36.42 N;67.41 E;;Richter;Earthquake;Ground movement;--;--;50;90000;0;0;;1976-0028
12/04/2002;12/04/2002;Afghanistan;AFG;Dawabi, Khojakeder villages (Nahrin district, Baghlan province);35.659;69.417;5.9;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;50;6150;0;0;;2002-0208
16/01/2012;17/01/2012;Afghanistan;AFG;Badakhshan, Daykundi provinces;;;-18;°C;Extreme temperature ;Severe winter conditions;--;--;45;68;0;0;;2012-0050
